delta_feature_0,delta_feature_1,delta_feature_2,delta_feature_3,delta_feature_4,delta_feature_5,delta_feature_6,delta_feature_7,delta_feature_8,delta_feature_9,delta_feature_10,delta_feature_11,label
0.05514052454602131,0.02049832765119497,0.07075671508837705,-7.544035940716643,1.4446477273096514,0.03623886622279193,0.04402065585528761,0.06419183239624071,0.12815523327331657,0.024102570290906677,0.16439466633510147,0.2521276763521416,3.0
-0.00845409693172644,0.007645047928893145,0.00986136158715828,-2.352556907684278,3.139084217270673,0.010989645855260827,0.011979473031022758,0.0651550151488407,0.06708513108681591,0.018067564309245054,0.018088481066919293,0.06599109657207158,3.0
-0.0068975622071794085,0.008127750728168015,0.017948287738381308,-2.85553346454625,4.373568676497492,0.01602969169768348,0.01912647645777124,0.08386154297418724,0.08628797175296143,0.022783282063049026,0.0336840600451751,0.0770116496423725,3.0
-0.003768841708722437,0.017578333889199882,0.07408703488350449,-4.475428918207914,0.4158251792713621,0.01360624702097693,0.02116217232465406,0.07007255927441414,0.0991194177307928,0.035013644842177505,-0.02886540199101395,-0.005449691718665495,3.0
0.05616926505835307,0.02718583991585849,0.01856141165610592,-7.948911035233468,0.18045942428799755,0.03175142506707507,0.044457133474015004,0.0723907512505132,0.13895191904860182,0.04023255024983674,0.20630619233066927,0.2720421829103876,3.0
0.0018248275461088537,0.02529507913185086,0.07419526138810512,-4.417447097887775,-0.3300975857823829,0.012802869995861693,0.021340823786506757,0.057044513567316546,0.09000952983728583,0.04666995323607137,-0.01362065185077288,0.015640038415684288,3.0
0.06349008914396187,0.03528369755610167,0.023329207091200954,-7.581757809793274,0.17551868950145177,0.03189925663569479,0.046630894604928724,0.06959671013737767,0.14095520958320895,0.05032627860048933,0.188430248969659,0.2790248906693944,3.0
-0.01547436814629538,-0.000632608569021309,0.006482340466546943,-2.390096117546971,3.7730161835047573,0.016123551962345994,0.019455445664422116,0.09588870497041224,0.09814446095326324,0.028609133709996848,0.0489724483150944,0.09875676967037883,3.0
0.05669510370677866,0.02542290932456409,0.02804114872081781,-8.115683896311747,0.4191976307121861,0.03576488609640183,0.05010351340959565,0.09017529959097381,0.16659837385465903,0.05380899656799987,0.2038945767863769,0.31229501848165375,3.0
-0.001090809878876886,0.01669559390607811,0.07732649005469111,-2.9517062272035997,4.924030495497566,0.013797661392991212,0.013783720881869105,0.05763880287416834,0.05597603473488699,-0.0007246479106216563,0.019419471746184414,0.07884730193967604,3.0
-0.014559569839723063,0.003075064152501028,0.019793230862243327,-2.754106802821145,4.0227037479920424,0.006836965747097995,0.01064220306638336,0.052124769062040666,0.05602929006934154,0.009085820867569039,0.004163765179001189,0.04880458847148672,3.0
-0.013310156264552453,0.002655330570591752,0.013842664710581265,-2.670061424714172,4.0094607277292456,0.01509581129258833,0.016017761096754124,0.08704249578320011,0.08389739673195662,0.025544702980391243,0.005584652010576008,0.044509088679442144,3.0
0.04530985541880239,0.016590538237473085,0.055753500997316074,-7.424338564450874,0.9941793673878889,0.028183915389706132,0.03582850620913783,0.051519995738850466,0.10929119152293876,0.023140511342355174,0.1764665501126199,0.25914661252165994,3.0
0.0034232355249885216,0.02427329812887391,0.10444988057230004,-5.547772343317989,2.940492079354385,0.01735628506278808,0.023035237122684182,0.07274733957089585,0.09478818218056162,0.010920062779844808,-0.04099350940554336,0.009839603991532275,3.0
